Benchmark,Result
benchmarks/best_results/size/multiplier_size_2020.blif,Fail
benchmarks/best_results/size/bar_size_2015.blif,Fail
benchmarks/best_results/size/adder_size_2016.blif,Fail
benchmarks/best_results/size/max_size_2018.blif,Fail
benchmarks/best_results/size/dec_size_2018.blif,Fail
benchmarks/best_results/size/ctrl_size_2017.blif,Fail
benchmarks/best_results/size/arbiter_size_2020.blif,Fail
benchmarks/best_results/size/cavlc_size_2018.blif,Fail
benchmarks/best_results/size/voter_size_2020.blif,Fail
benchmarks/best_results/size/int2float_size_2020.blif,Fail
benchmarks/best_results/size/hyp_size_2018.blif,Fail
benchmarks/best_results/size/square_size_2018.blif,Fail
benchmarks/best_results/size/sin_size_2020.blif,Fail
benchmarks/best_results/size/router_size_2018.blif,Fail
benchmarks/best_results/size/sqrt_size_2020.blif,Fail
benchmarks/best_results/size/log2_size_2020.blif,Fail
benchmarks/best_results/size/priority_size_2018.blif,Fail
benchmarks/best_results/size/mem_ctrl_size_2018.blif,Fail
benchmarks/best_results/size/div_size_2018.blif,Fail
benchmarks/best_results/size/i2c_size_2018.blif,Fail
benchmarks/best_results/depth/cavlc_depth_2018.blif,Fail
benchmarks/best_results/depth/div_depth_2020.blif,Fail
benchmarks/best_results/depth/log2_depth_2020.blif,Fail
benchmarks/best_results/depth/hyp_depth_2018.blif,Fail
benchmarks/best_results/depth/bar_depth_2015.blif,Fail
benchmarks/best_results/depth/sqrt_depth_2018.blif,Fail
benchmarks/best_results/depth/max_depth_2020.blif,Fail
benchmarks/best_results/depth/mem_ctrl_depth_2018.blif,Fail
benchmarks/best_results/depth/i2c_depth_2018.blif,Fail
benchmarks/best_results/depth/sin_depth_2018.blif,Fail
benchmarks/best_results/depth/voter_depth_2020.blif,Fail
benchmarks/best_results/depth/int2float_depth_2018.blif,Fail
benchmarks/best_results/depth/arbiter_depth_2020.blif,Fail
benchmarks/best_results/depth/priority_depth_2018.blif,Fail
benchmarks/best_results/depth/square_depth_2020.blif,Fail
benchmarks/best_results/depth/adder_depth_2018.blif,Fail
benchmarks/best_results/depth/ctrl_depth_2017.blif,Fail
benchmarks/best_results/depth/dec_depth_2018.blif,Fail
benchmarks/best_results/depth/multiplier_depth_2018.blif,Fail
benchmarks/best_results/depth/router_depth_2018.blif,Fail
Score,0
